Opportunities.Opportunity Owner Name,Opportunities.Budget,Opportunities.Campaign Name,Opportunities.Close %
Molly Clark,4000,New Product Releases,1
Molly Clark,1125,,0.90625
Molly Clark,1125,Consumer Tradeshow,1
Molly Clark,1125,Market Trends Newsletter,1
Molly Clark,1125,New Product Releases,1
Molly Clark,1125,Twitter,1
Molly Clark,3750,,0.9230769230769231
Molly Clark,3750,Consumer Tradeshow,1
Molly Clark,3750,Customer Care Campaign,1
Molly Clark,3750,Customer Follow-up,1
Molly Clark,3750,Market Trends Newsletter,1
Molly Clark,3750,Monthly Newsletter,0.8
Molly Clark,3750,New Product Releases,1
Molly Clark,3750,Twitter,1
Molly Clark,3500,,0.8977272727272727
Molly Clark,3500,Consumer Tradeshow,1
Molly Clark,3500,Customer Care Campaign,1
Molly Clark,3500,Customer Follow-up,1
Molly Clark,3500,Monthly Newsletter,1
Molly Clark,3500,New Product Releases,1
Molly Clark,3500,Twitter,1
Molly Clark,4250,,0.90625
Molly Clark,4250,Customer Care Campaign,1
Molly Clark,4250,Customer Follow-up,1
Molly Clark,4250,Market Trends Newsletter,1
Molly Clark,4250,Monthly Newsletter,1
Molly Clark,4250,New Product Releases,1
Molly Clark,2000,,0.875
Molly Clark,2000,Consumer Tradeshow,1
Molly Clark,2000,Market Trends Newsletter,1
Molly Clark,2000,New Product Releases,1
Molly Clark,2000,Twitter,1
Molly Clark,2375,,0.8823529411764706
Molly Clark,2375,Consumer Tradeshow,1
Molly Clark,2375,Customer Care Campaign,1
Molly Clark,2375,Market Trends Newsletter,1
Molly Clark,2375,New Product Releases,1
Molly Clark,2375,Twitter,1
Molly Clark,3250,,0.9047619047619048
Molly Clark,3250,Consumer Tradeshow,1
Molly Clark,3250,Customer Care Campaign,1
Molly Clark,3250,Customer Follow-up,1
Molly Clark,3250,Market Trends Newsletter,0.6
Molly Clark,3250,Monthly Newsletter,1
Molly Clark,3250,New Product Releases,1
Molly Clark,3250,Twitter,1
Molly Clark,875,,0.8695652173913043
Molly Clark,875,Consumer Tradeshow,1
Molly Clark,875,Market Trends Newsletter,1
Molly Clark,875,New Product Releases,1
Molly Clark,875,Twitter,1
Molly Clark,2125,,0.8947368421052632
Molly Clark,2125,Consumer Tradeshow,1
Molly Clark,2125,New Product Releases,1
Molly Clark,625,,0.8636363636363636
Molly Clark,625,Market Trends Newsletter,1
Molly Clark,625,Twitter,1
Molly Clark,3625,,0.8658536585365854
Molly Clark,3625,Consumer Tradeshow,0.75
Molly Clark,3625,Customer Care Campaign,1
Molly Clark,3625,Customer Follow-up,1
Molly Clark,3625,Market Trends Newsletter,1
Molly Clark,3625,Monthly Newsletter,1
Molly Clark,3625,New Product Releases,1
Molly Clark,3625,Twitter,1
Molly Clark,2500,,0.868421052631579
Molly Clark,2500,Customer Care Campaign,1
Molly Clark,2500,Market Trends Newsletter,1
Molly Clark,2500,Monthly Newsletter,1
Molly Clark,2500,New Product Releases,0.75
Molly Clark,2500,Twitter,1
Molly Clark,3000,,0.782608695652174
Molly Clark,3000,Consumer Tradeshow,1
Molly Clark,3000,Customer Care Campaign,1
Molly Clark,3000,Market Trends Newsletter,0.6666666666666666
Molly Clark,3000,Monthly Newsletter,1
Molly Clark,3000,New Product Releases,1
Molly Clark,3000,Twitter,1
Molly Clark,2250,,0.8125
Molly Clark,2250,Consumer Tradeshow,1
Molly Clark,2250,Market Trends Newsletter,1
Molly Clark,2250,New Product Releases,1
Molly Clark,1250,,0.8392857142857143
Molly Clark,1250,Consumer Tradeshow,1
Molly Clark,1250,Customer Care Campaign,1
Molly Clark,1250,Monthly Newsletter,0.875
Molly Clark,1250,Twitter,1
Molly Clark,2625,,0.7666666666666667
Molly Clark,2625,Consumer Tradeshow,1
Molly Clark,2625,Customer Care Campaign,1
Molly Clark,2625,Market Trends Newsletter,1
Molly Clark,2625,Monthly Newsletter,1
Molly Clark,2625,New Product Releases,1
Molly Clark,2625,Twitter,1
Molly Clark,1625,,0.8125
Molly Clark,1625,Consumer Tradeshow,1
Molly Clark,1625,Customer Care Campaign,1
Molly Clark,1625,Monthly Newsletter,0.8888888888888888
Molly Clark,1500,,0.8571428571428571
Molly Clark,1500,Consumer Tradeshow,1
Molly Clark,1500,Customer Care Campaign,0.8
Molly Clark,1500,Market Trends Newsletter,1
Molly Clark,1500,Monthly Newsletter,0.7058823529411765
Molly Clark,1500,Twitter,0.5
Molly Clark,2875,,0.7647058823529411
Molly Clark,2875,Consumer Tradeshow,1
Molly Clark,2875,Customer Care Campaign,1
Molly Clark,2875,New Product Releases,0.75
Molly Clark,2875,Twitter,1
Molly Clark,1375,,0.7551020408163265
Molly Clark,1375,Customer Care Campaign,1
Molly Clark,1375,Market Trends Newsletter,0.5
Molly Clark,1375,Monthly Newsletter,0.8333333333333334
Molly Clark,1750,,0.6944444444444444
Molly Clark,1750,Consumer Tradeshow,1
Molly Clark,1750,Customer Care Campaign,1
Molly Clark,1750,Market Trends Newsletter,1
Molly Clark,1750,Monthly Newsletter,0.6
Alicia Thomber,125,,1
Alicia Thomber,125,Market Trends Newsletter,1
Alicia Thomber,125,New Product Releases,1
Alicia Thomber,125,Twitter,1
Alicia Thomber,250,,1
Alicia Thomber,250,Market Trends Newsletter,1
Alicia Thomber,250,New Product Releases,1
Alicia Thomber,250,Twitter,1
Alicia Thomber,375,,1
Alicia Thomber,375,Market Trends Newsletter,1
Alicia Thomber,375,New Product Releases,1
Alicia Thomber,375,Twitter,1
Alicia Thomber,500,,1
Alicia Thomber,500,Market Trends Newsletter,1
Alicia Thomber,500,Twitter,1
Alicia Thomber,875,,1
Alicia Thomber,875,Customer Care Campaign,1
Alicia Thomber,875,Market Trends Newsletter,1
Alicia Thomber,875,New Product Releases,1
Alicia Thomber,875,Twitter,1
Alicia Thomber,5000,,1
Alicia Thomber,5000,Customer Care Campaign,1
Alicia Thomber,5125,,1
Alicia Thomber,5125,Consumer Tradeshow,1
Alicia Thomber,5125,New Product Releases,1
Alicia Thomber,5250,,1
Alicia Thomber,5250,Consumer Tradeshow,1
Alicia Thomber,5250,New Product Releases,1
Alicia Thomber,5250,Twitter,1
Alicia Thomber,5375,,1
Alicia Thomber,5375,New Product Releases,1
Alicia Thomber,5500,,1
Alicia Thomber,5500,Customer Care Campaign,1
Alicia Thomber,5500,New Product Releases,1
Alicia Thomber,5500,Twitter,1
Alicia Thomber,5625,,1
Alicia Thomber,5625,New Product Releases,1
Alicia Thomber,5625,Twitter,1
Alicia Thomber,5750,,1
Alicia Thomber,5750,Consumer Tradeshow,1
Alicia Thomber,5875,,1
Alicia Thomber,5875,Consumer Tradeshow,1
Alicia Thomber,5875,Market Trends Newsletter,1
Alicia Thomber,5875,New Product Releases,1
Alicia Thomber,5875,Twitter,1
Alicia Thomber,6000,,1
Alicia Thomber,6000,Consumer Tradeshow,1
Alicia Thomber,6000,New Product Releases,1
Alicia Thomber,6125,,1
Alicia Thomber,6125,New Product Releases,1
Alicia Thomber,1125,,0.9545454545454546
Alicia Thomber,1125,Market Trends Newsletter,1
Alicia Thomber,1125,New Product Releases,1
Alicia Thomber,1000,,0.9444444444444444
Alicia Thomber,1000,Consumer Tradeshow,1
Alicia Thomber,1000,Market Trends Newsletter,1
Alicia Thomber,1000,New Product Releases,1
Alicia Thomber,1000,Twitter,1
Alicia Thomber,1250,,0.9
Alicia Thomber,1250,Customer Care Campaign,1
Alicia Thomber,1250,Market Trends Newsletter,1
Alicia Thomber,1250,Monthly Newsletter,1
Alicia Thomber,1250,New Product Releases,1
Alicia Thomber,1625,,0.9259259259259259
Alicia Thomber,1625,Consumer Tradeshow,1
Alicia Thomber,1625,Monthly Newsletter,0.9090909090909091
Alicia Thomber,1625,New Product Releases,1
Alicia Thomber,750,,0.8636363636363636
Alicia Thomber,750,Market Trends Newsletter,1
Alicia Thomber,750,New Product Releases,1
Alicia Thomber,750,Twitter,1
Alicia Thomber,1875,,0.9285714285714286
Alicia Thomber,1875,Consumer Tradeshow,1
Alicia Thomber,1875,Market Trends Newsletter,1
Alicia Thomber,1875,New Product Releases,1
Alicia Thomber,4625,,0.85
Alicia Thomber,4625,Customer Care Campaign,1
Alicia Thomber,4625,Customer Follow-up,1
Alicia Thomber,4625,Market Trends Newsletter,1
Alicia Thomber,4625,Monthly Newsletter,1
Alicia Thomber,4625,New Product Releases,1
Alicia Thomber,4750,,0.8723404255319149
Alicia Thomber,4750,Consumer Tradeshow,1
Alicia Thomber,4750,Customer Follow-up,1
Alicia Thomber,4750,Market Trends Newsletter,1
Alicia Thomber,4750,Monthly Newsletter,1
Alicia Thomber,4750,Twitter,1
Alicia Thomber,1750,,0.8571428571428571
Alicia Thomber,1750,Consumer Tradeshow,1
Alicia Thomber,1750,Customer Care Campaign,1
Alicia Thomber,1750,Monthly Newsletter,0.8823529411764706
Alicia Thomber,625,,0.8709677419354839
Alicia Thomber,625,Market Trends Newsletter,1
Alicia Thomber,4500,,0.813953488372093
Alicia Thomber,4500,Customer Care Campaign,1
Alicia Thomber,4500,Customer Follow-up,1
Alicia Thomber,4500,Monthly Newsletter,1
Alicia Thomber,4500,New Product Releases,1
Alicia Thomber,1500,,0.8333333333333334
Alicia Thomber,1500,Consumer Tradeshow,1
Alicia Thomber,1500,Customer Care Campaign,1
Alicia Thomber,1500,Monthly Newsletter,0.8
Alicia Thomber,1500,New Product Releases,1
Alicia Thomber,1500,Twitter,1
Alicia Thomber,4875,,0.7954545454545454
Alicia Thomber,4875,Customer Follow-up,1
Alicia Thomber,4875,Monthly Newsletter,1
Alicia Thomber,4875,New Product Releases,1
Alicia Thomber,3125,,0.8125
Alicia Thomber,3125,Customer Care Campaign,1
Alicia Thomber,3125,Customer Follow-up,1
Alicia Thomber,3125,Monthly Newsletter,1
Alicia Thomber,3125,New Product Releases,1
Alicia Thomber,1375,,0.8148148148148148
Alicia Thomber,1375,Consumer Tradeshow,1
Alicia Thomber,1375,Customer Care Campaign,1
Alicia Thomber,1375,Monthly Newsletter,0.75
Alicia Thomber,2250,,0.7
Alicia Thomber,2250,Consumer Tradeshow,1
Alicia Thomber,2250,Customer Care Campaign,1
Alicia Thomber,2250,New Product Releases,1
Alicia Thomber,2375,,0.7142857142857143
Alicia Thomber,2375,New Product Releases,1
Alicia Thomber,3375,,0.7142857142857143
Alicia Thomber,3375,Customer Care Campaign,0.6666666666666666
Alicia Thomber,3375,Customer Follow-up,1
Alicia Thomber,3375,Monthly Newsletter,0.9166666666666666
Alicia Thomber,3375,New Product Releases,1
Alicia Thomber,3375,Twitter,1
Alicia Thomber,3625,,0.6862745098039216
Alicia Thomber,3625,Consumer Tradeshow,1
Alicia Thomber,3625,Customer Care Campaign,0.6666666666666666
Alicia Thomber,3625,Customer Follow-up,1
Alicia Thomber,3625,Monthly Newsletter,1
Alicia Thomber,3625,New Product Releases,1
Alicia Thomber,4375,,0.7317073170731707
Alicia Thomber,4375,Monthly Newsletter,1
Alicia Thomber,4375,New Product Releases,1
Alicia Thomber,2125,,1
Alicia Thomber,2125,Consumer Tradeshow,1
Alicia Thomber,4125,,0.6911764705882353
Alicia Thomber,4125,Consumer Tradeshow,1
Alicia Thomber,4125,Customer Care Campaign,1
Alicia Thomber,4125,Customer Follow-up,1
Alicia Thomber,4125,Monthly Newsletter,1
Alicia Thomber,4125,New Product Releases,1
Alicia Thomber,3500,,0.6842105263157895
Alicia Thomber,3500,Consumer Tradeshow,1
Alicia Thomber,3500,Customer Care Campaign,1
Alicia Thomber,3500,Customer Follow-up,1
Alicia Thomber,3500,Market Trends Newsletter,0.5
Alicia Thomber,3500,Monthly Newsletter,0.75
Alicia Thomber,3500,New Product Releases,1
Alicia Thomber,3500,Twitter,1
Alicia Thomber,3875,,0.7333333333333333
Alicia Thomber,3875,Consumer Tradeshow,1
Alicia Thomber,3875,Customer Care Campaign,0.625
Alicia Thomber,3875,Monthly Newsletter,1
Alicia Thomber,3875,New Product Releases,1
Alicia Thomber,3750,,0.7037037037037037
Alicia Thomber,3750,Consumer Tradeshow,1
Alicia Thomber,3750,Customer Care Campaign,0.6666666666666666
Alicia Thomber,3750,Customer Follow-up,1
Alicia Thomber,3750,Market Trends Newsletter,1
Alicia Thomber,3750,Monthly Newsletter,0.8571428571428571
Alicia Thomber,3750,New Product Releases,1
Alicia Thomber,3000,,0.6896551724137931
Alicia Thomber,3000,Consumer Tradeshow,1
Alicia Thomber,3000,Customer Care Campaign,0.8
Alicia Thomber,3000,Monthly Newsletter,1
Alicia Thomber,3000,Twitter,1
Alicia Thomber,4250,,0.6428571428571429
Alicia Thomber,4250,Consumer Tradeshow,1
Alicia Thomber,4250,Customer Care Campaign,1
Alicia Thomber,4250,Customer Follow-up,1
Alicia Thomber,4250,Monthly Newsletter,0.8888888888888888
Alicia Thomber,4250,New Product Releases,1
Alicia Thomber,3250,,0.6551724137931034
Alicia Thomber,3250,Consumer Tradeshow,1
Alicia Thomber,3250,Customer Care Campaign,0.8
Alicia Thomber,3250,Customer Follow-up,1
Alicia Thomber,3250,Market Trends Newsletter,1
Alicia Thomber,3250,Monthly Newsletter,1
Alicia Thomber,3250,New Product Releases,1
Alicia Thomber,2500,,0.625
Alicia Thomber,2500,Consumer Tradeshow,1
Alicia Thomber,2500,Customer Care Campaign,0.6666666666666666
Alicia Thomber,2500,New Product Releases,1
Alicia Thomber,2500,Twitter,1
Alicia Thomber,4000,,0.6226415094339622
Alicia Thomber,4000,Consumer Tradeshow,1
Alicia Thomber,4000,Customer Care Campaign,1
Alicia Thomber,4000,Customer Follow-up,1
Alicia Thomber,4000,New Product Releases,1
Alicia Thomber,2625,,0.631578947368421
Alicia Thomber,2625,Consumer Tradeshow,1
Alicia Thomber,2625,Customer Care Campaign,0.6666666666666666
Alicia Thomber,2625,Monthly Newsletter,0.5
Alicia Thomber,2625,New Product Releases,1
Alicia Thomber,2625,Twitter,1
Alicia Thomber,2750,,0.6666666666666666
Alicia Thomber,2750,Customer Care Campaign,0.6666666666666666
Alicia Thomber,2875,,0.5882352941176471
Alicia Thomber,2875,Customer Care Campaign,0.6666666666666666
Alicia Thomber,2875,Market Trends Newsletter,1
Alicia Thomber,2875,Monthly Newsletter,1
Alicia Thomber,2875,New Product Releases,0.5
Alicia Thomber,2000,,0.6
Alicia Thomber,2000,Consumer Tradeshow,1
Alicia Thomber,2000,New Product Releases,1
Spencer Low,125,,1
Spencer Low,125,Market Trends Newsletter,1
Spencer Low,250,,1
Spencer Low,250,Market Trends Newsletter,1
Spencer Low,375,,1
Spencer Low,500,,1
Spencer Low,500,Market Trends Newsletter,1
Spencer Low,500,Twitter,1
Spencer Low,750,,1
Spencer Low,750,Market Trends Newsletter,1
Spencer Low,1375,,1
Spencer Low,1375,Monthly Newsletter,1
Spencer Low,2125,,1
Spencer Low,2125,Consumer Tradeshow,1
Spencer Low,2125,Market Trends Newsletter,1
Spencer Low,2125,New Product Releases,1
Spencer Low,2375,,1
Spencer Low,2375,New Product Releases,1
Spencer Low,5000,,1
Spencer Low,5250,,1
Spencer Low,5250,Monthly Newsletter,1
Spencer Low,5375,,1
Spencer Low,5375,Market Trends Newsletter,1
Spencer Low,5375,New Product Releases,1
Spencer Low,5500,,1
Spencer Low,5500,Consumer Tradeshow,1
Spencer Low,5500,Monthly Newsletter,1
Spencer Low,5500,New Product Releases,1
Spencer Low,5625,,1
Spencer Low,5625,Consumer Tradeshow,1
Spencer Low,5750,,1
Spencer Low,5750,New Product Releases,1
Spencer Low,5875,,1
Spencer Low,5875,Consumer Tradeshow,1
Spencer Low,6000,,1
Spencer Low,6000,Consumer Tradeshow,1
Spencer Low,6000,New Product Releases,1
Spencer Low,6125,,1
Spencer Low,6125,Consumer Tradeshow,1
Spencer Low,6125,New Product Releases,1
Spencer Low,1125,,0.875
Spencer Low,1125,Market Trends Newsletter,1
Spencer Low,1125,New Product Releases,1
Spencer Low,5125,,0.9
Spencer Low,5125,New Product Releases,1
Spencer Low,875,,0.9
Spencer Low,875,Customer Care Campaign,1
Spencer Low,875,Market Trends Newsletter,0.6666666666666666
Spencer Low,875,Twitter,1
Spencer Low,1750,,0.9230769230769231
Spencer Low,1750,Customer Care Campaign,1
Spencer Low,1750,Monthly Newsletter,0.75
Spencer Low,4625,,0.8461538461538461
Spencer Low,4625,Consumer Tradeshow,1
Spencer Low,4625,Customer Follow-up,1
Spencer Low,4625,Monthly Newsletter,1
Spencer Low,3625,,0.8076923076923077
Spencer Low,3625,Consumer Tradeshow,1
Spencer Low,3625,Customer Care Campaign,1
Spencer Low,3625,Customer Follow-up,1
Spencer Low,3625,Monthly Newsletter,1
Spencer Low,4875,,0.84
Spencer Low,4875,Customer Follow-up,1
Spencer Low,4875,Monthly Newsletter,0.5
Spencer Low,4125,,0.782608695652174
Spencer Low,4125,Consumer Tradeshow,1
Spencer Low,4125,Customer Care Campaign,1
Spencer Low,4125,Customer Follow-up,1
Spencer Low,4125,Monthly Newsletter,1
Spencer Low,4125,New Product Releases,1
Spencer Low,1500,,0.8125
Spencer Low,1500,Consumer Tradeshow,1
Spencer Low,1500,Market Trends Newsletter,1
Spencer Low,1500,Monthly Newsletter,0.8
Spencer Low,1500,New Product Releases,1
Spencer Low,1500,Twitter,1
Spencer Low,4500,,0.8214285714285714
Spencer Low,4500,Consumer Tradeshow,1
Spencer Low,4500,Customer Follow-up,1
Spencer Low,4500,New Product Releases,1
Spencer Low,1000,,0.7777777777777778
Spencer Low,1000,Market Trends Newsletter,1
Spencer Low,3875,,0.7272727272727273
Spencer Low,3875,Consumer Tradeshow,1
Spencer Low,3875,Customer Follow-up,1
Spencer Low,3875,Monthly Newsletter,1
Spencer Low,3875,New Product Releases,1
Spencer Low,1625,,0.7857142857142857
Spencer Low,1625,Market Trends Newsletter,1
Spencer Low,1625,Monthly Newsletter,1
Spencer Low,625,,0.8571428571428571
Spencer Low,625,Market Trends Newsletter,0.6666666666666666
Spencer Low,3250,,0.7659574468085106
Spencer Low,3250,Consumer Tradeshow,1
Spencer Low,3250,Customer Care Campaign,1
Spencer Low,3250,Customer Follow-up,1
Spencer Low,3250,Monthly Newsletter,1
Spencer Low,3250,New Product Releases,1
Spencer Low,2750,,0.75
Spencer Low,2750,Customer Care Campaign,1
Spencer Low,2750,Market Trends Newsletter,1
Spencer Low,2750,Monthly Newsletter,0.5
Spencer Low,2750,Twitter,1
Spencer Low,4750,,0.7368421052631579
Spencer Low,4750,Customer Follow-up,1
Spencer Low,4750,Monthly Newsletter,1
Spencer Low,1250,,0.7692307692307693
Spencer Low,1250,Market Trends Newsletter,1
Spencer Low,1250,Monthly Newsletter,0.7777777777777778
Spencer Low,2500,,0.7142857142857143
Spencer Low,2500,Consumer Tradeshow,1
Spencer Low,2500,Customer Care Campaign,1
Spencer Low,2500,New Product Releases,1
Spencer Low,3500,,0.7692307692307693
Spencer Low,3500,Customer Care Campaign,0.6666666666666666
Spencer Low,3500,Market Trends Newsletter,1
Spencer Low,3500,Monthly Newsletter,1
Spencer Low,3500,New Product Releases,1
Spencer Low,4375,,0.7391304347826086
Spencer Low,4375,Customer Follow-up,1
Spencer Low,4375,New Product Releases,1
Spencer Low,4000,,0.7931034482758621
Spencer Low,4000,Consumer Tradeshow,1
Spencer Low,4000,Customer Care Campaign,0.4
Spencer Low,4000,Customer Follow-up,1
Spencer Low,4000,Monthly Newsletter,0.8
Spencer Low,4000,New Product Releases,1
Spencer Low,3125,,0.71875
Spencer Low,3125,Consumer Tradeshow,1
Spencer Low,3125,Customer Follow-up,1
Spencer Low,3125,Market Trends Newsletter,1
Spencer Low,3125,Monthly Newsletter,1
Spencer Low,3125,New Product Releases,1
Spencer Low,3375,,0.7222222222222222
Spencer Low,3375,Market Trends Newsletter,1
Spencer Low,3375,Monthly Newsletter,1
Spencer Low,3375,New Product Releases,1
Spencer Low,3375,Twitter,1
Spencer Low,3000,,0.6842105263157895
Spencer Low,3000,Customer Care Campaign,1
Spencer Low,3000,New Product Releases,1
Spencer Low,4250,,0.6551724137931034
Spencer Low,4250,Consumer Tradeshow,1
Spencer Low,4250,Customer Care Campaign,0.5
Spencer Low,4250,Customer Follow-up,1
Spencer Low,4250,Monthly Newsletter,1
Spencer Low,3750,,0.6
Spencer Low,3750,Consumer Tradeshow,1
Spencer Low,3750,Customer Follow-up,1
Spencer Low,3750,Monthly Newsletter,1
Spencer Low,2000,,0.6666666666666666
Spencer Low,1875,,0.5555555555555556
Spencer Low,1875,Consumer Tradeshow,1
Spencer Low,1875,Customer Care Campaign,1
Spencer Low,1875,Market Trends Newsletter,1
Spencer Low,2250,,0.42857142857142855
Spencer Low,2250,Customer Care Campaign,1
Spencer Low,2625,,0.38461538461538464
Spencer Low,2625,Customer Care Campaign,1
Spencer Low,2625,Market Trends Newsletter,1
Spencer Low,2625,Twitter,1
Spencer Low,2875,,0.35714285714285715
Spencer Low,2875,Consumer Tradeshow,1
Spencer Low,2875,Customer Care Campaign,0.5
Spencer Low,2875,Market Trends Newsletter,1
Spencer Low,2875,Monthly Newsletter,1
Spencer Low,2875,New Product Releases,1
Renee Lo,125,,1
Renee Lo,125,Market Trends Newsletter,1
Renee Lo,125,New Product Releases,1
Renee Lo,250,,1
Renee Lo,375,,1
Renee Lo,375,Market Trends Newsletter,1
Renee Lo,375,New Product Releases,1
Renee Lo,375,Twitter,1
Renee Lo,500,,1
Renee Lo,625,,1
Renee Lo,625,Market Trends Newsletter,1
Renee Lo,625,New Product Releases,1
Renee Lo,875,,1
Renee Lo,875,Market Trends Newsletter,1
Renee Lo,875,Twitter,1
Renee Lo,1125,,1
Renee Lo,1125,New Product Releases,1
Renee Lo,1500,,1
Renee Lo,1500,Consumer Tradeshow,1
Renee Lo,1500,Market Trends Newsletter,1
Renee Lo,1500,Monthly Newsletter,1
Renee Lo,5000,,1
Renee Lo,5000,Customer Care Campaign,1
Renee Lo,5125,,1
Renee Lo,5125,Market Trends Newsletter,1
Renee Lo,5250,,1
Renee Lo,5375,,1
Renee Lo,5625,,1
Renee Lo,5625,Consumer Tradeshow,1
Renee Lo,5625,New Product Releases,1
Renee Lo,5750,,1
Renee Lo,5875,,1
Renee Lo,5875,New Product Releases,1
Renee Lo,6000,,1
Renee Lo,6000,Customer Care Campaign,1
Renee Lo,6000,New Product Releases,1
Renee Lo,6125,,1
Renee Lo,6125,Monthly Newsletter,1
Renee Lo,4500,,0.9285714285714286
Renee Lo,4500,Consumer Tradeshow,1
Renee Lo,4500,Customer Follow-up,1
Renee Lo,4500,Monthly Newsletter,1
Renee Lo,3750,,0.9166666666666666
Renee Lo,3750,Consumer Tradeshow,1
Renee Lo,3750,Customer Follow-up,1
Renee Lo,4750,,0.8823529411764706
Renee Lo,4750,Consumer Tradeshow,1
Renee Lo,4750,Customer Follow-up,1
Renee Lo,4750,Monthly Newsletter,1
Renee Lo,4750,New Product Releases,1
Renee Lo,1375,,0.8
Renee Lo,1375,Market Trends Newsletter,1
Renee Lo,1375,Monthly Newsletter,1
